category,subcategory,specific_type,place_name,google_plus_code,lat,lon,metadata,dimension,polygon_file
Food and Drink,Specialty food experiences,Conveyor belt sushi,Kaiten-sushi Nemuro HANAMARU,"MQC6+VX Chuo City, Tokyo, Japan",35.6721875,139.7624375,"A highly acclaimed conveyor-belt sushi chain originating from Hokkaido, Japan. Renowned for its ultra-fresh seafood (especially sourced directly from the Nemuro port), it offers premium, thick-cut nigiri at incredibly accessible prices, though its intense popularity means wait times can exceed an hour. 10th floor of the GinzaNovo shopping mall. Floor plan can be found in docs/ginzanovo_floorplan.pdf",marker,
Food and Drink,Specialty food experiences,Conveyor belt sushi,Kura Sushi Global Flagship Store Asakusa,"PQ7V+55 Taito City, Tokyo, Japan",35.7129375,139.7929375,"4th floor of the Asakusa ROX shopping mall. Massive 272-seat, high-tech, festival-themed conveyor-belt sushi restaurant",marker,
Food and Drink,Specialty food experiences,Conveyor belt sushi,Kura Sushi Global Flagship Store Harajuku,"MP94+JF Shibuya, Tokyo, Japan",35.6690625,139.7061875,This Kura conveyor belt flagship restaurant blends traditional Edo-period design with pop-culture aesthetics. It features exclusive Harajuku-only menu items like sushi crepes and a dedicated sweets stall,marker,
Food and Drink,Specialty food experiences,Conveyor belt sushi,Kura Sushi Shibuya Ekimae,"MM5X+WR Shibuya, Tokyo, Japan",35.6598125,139.6995625,,marker,
Food and Drink,Specialty food experiences,Conveyor belt sushi,Kura Sushi Nishishinjuku,"MMVX+QJ Shinjuku City, Tokyo, Japan",35.6944375,139.6990625,,marker,
Food and Drink,Specialty food experiences,Conveyor belt sushi,Kura Sushi Ikebukuro East,"PPH6+2W Toshima City, Tokyo, Japan",35.7275625,139.7123125,,marker,
Food and Drink,Specialty food experiences,Depachika food halls,Shibuya Tokyu Foodshow,"MM5X+6F Shibuya, Tokyo, Japan",35.6580625,139.6986875,"Connected to Shibuya Station, the Shibuya Tokyu Foodshow is a massive, high-end depachika (basement food hall). Following an extensive revamp, it is the largest food hall in the area. It is split into dedicated sweets, bakery, gourmet deli, and fresh grocery zones, offering beautifully displayed bento boxes, international foods, and local treats.",marker,
Food and Drink,Specialty food experiences,Depachika food halls,Nihombashi Takashimaya Shopping Center,"MQJF+89 Chuo City, Tokyo, Japan",35.6808125,139.7734375,"Premier, historic retail complex in Tokyo, Japan. Blending awe-inspiring 1930s architecture with modern offerings, it features luxury boutiques, an expansive depachika (basement food hall), specialty stores like the Pokémon Center DX, and the world-renowned Takashimaya Watch Maison.",marker,
Food and Drink,Specialty food experiences,Depachika food halls,Mitsukoshi Ginza,"MQC8+G7 Chuo City, Tokyo, Japan",35.6713125,139.7656875,"Tokyo’s premier luxury department store, seamlessly blending over 90 years of history with modern upscale shopping. Located in the heart of Ginza, it features extensive floors of designer fashion, cosmetics, and jewelry, alongside a legendary depachika (basement food hall) renowned for its exquisite gourmet offerings.",marker,
Food and Drink,Specialty food experiences,Depachika food halls,SEIJO ISHII Tokyo Dome LaQua Store,"PQ43+R4 Bunkyo City, Tokyo, Japan",35.7070625,139.7528125,"Upscale, gourmet supermarket famous for high-quality imports, artisanal snacks, and premium ready-to-eat meals. It’s a favorite among locals and event-goers for grabbing premium bento boxes, craft beer, and wine before catching a baseball game or concert.",marker,
Food and Drink,Specialty food experiences,Breakfast markets,GINZA SIX,"MQ97+WM Chuo City, Tokyo, Japan",35.6698125,139.7641875,"GINZA SIX is Tokyo’s largest luxury commercial complex, spanning 13 stories in the heart of the prestigious Ginza district. Opened in 2017, it houses over 240 high-end international boutiques, an expansive food hall, the traditional Kanze Noh Theater, and a lush, 4,000-square-meter rooftop garden.",marker,
Food and Drink,Specialty food experiences,Breakfast markets,Kuromon Market,"MG84+4F Osaka, Japan",34.6653125,135.5061875,"Kuromon Market (Kuromon Ichiba) is a historic 600-meter covered market in Osaka. Known as 'Osaka's Kitchen', it features roughly 170 stalls offering fresh seafood, premium Wagyu beef, and local street food. Visitors can enjoy made-to-order sushi, oysters, and seasonal fruits in a vibrant, bustling atmosphere.",polygon,kuromon_market.csv
Food and Drink,Specialty food experiences,Fish markets,Tsukiji Outer Market,"MQ7C+W4 Chuo City, Tokyo, Japan",35.6648125,139.7703125,"Japan’s 'Food Town', where one can encounter all kinds of traditional Japanese foods. A mixture of wholesale and retail shops, along with numerous restaurants, line the streets, and new culinary trends are born here. Main alleys get so packed that it is difficult to see anything but human heads. Many items are heavily inflated due to the IG/TikTok boom, sometimes reaching up to $70 to $120 for wagyu or sea urchin bowls. Know your budget in advance and be mindful of what you are paying",polygon,tsukiji_outer_market.csv
Food and Drink,Specialty food experiences,Basement markets,Ameyoko Center Building,"PQ5F+VR Taito City, Tokyo, Japan",35.7096875,139.7745625,"The Ameyoko Center Building basement market in Ueno, Tokyo, is a vibrant, chaotic wet market known for exotic Asian ingredients. It feels more like a traditional street market in Hong Kong or Thailand than a standard Japanese store.",marker,
Food and Drink,Specialty food experiences,Street food markets,Ameyoko market,"PQ5F+JV Taito City, Tokyo, Japan",35.7090625,139.7746875,"Ameyoko (Ameya-Yokocho) is a vibrant, bustling open-air market in Tokyo, nestled under the Yamanote Line tracks between Ueno and Okachimachi stations. Born from a post-World War II black market, today it features over 400 energetic stalls offering everything from fresh seafood to cosmetics, streetwear, and street food.",polygon,ameyoko_market.csv
Food and Drink,Specialty food experiences,Street food markets,Dotonbori,"MG92+FG Osaka, Japan",34.6686875,135.5013125,"Known as one of Osaka's principal tourist and nightlife areas, the area runs along the Dōtonbori canal from Dōtonboribashi Bridge to Nipponbashi Bridge in the Namba district of the city's Chūō ward",polygon,
Food and Drink,Specialty food experiences,Street food markets,Omoide Yokocho Memory Lane,"MMVX+3R Shinjuku City, Tokyo, Japan",35.6926875,139.6995625,Landmark alleyway featuring a selection of food stalls for simple fare & alcoholic drinks,polygon,
